タイムスタンプ,科目種別,実施キャンパス,曜日,時限,講義名,担当教員名,評価基準,テスト持ち込み,授業の良かったところは？,授業の悪かったところは？,授業のおすすめ度を教えてください,その他情報があれば教えてください,実施キャンパス 2,曜日 2,時限 2,授業名,担当教員名 2,評価基準 2,テスト持ち込み 2,授業の良かったところは？ 2,授業の悪かったところは？ 2,その他情報があれば教えてください 2,あなたの学部・学科は？,実施キャンパス 3,曜日 3,時限 3,講義名 2,担当教員名 3,評価基準 3,テスト持ち込み 3,授業の良かったところは？ 3,授業の悪かったところは？ 3,その他情報があれば教えてください 3,授業担当学部は？,実施キャンパス 4,曜日 4,時限 4,講義名 3,担当教員名 4,評価基準 4,テスト持ち込み 4,授業の良かったところは？ 4,授業の悪かったところは？ 4,その他情報があれば教えてください 4,実施キャンパス 5,曜日 5,時限 5,講義名 4,担当教員名 5,評価基準 5,テスト持ち込み 5,授業の良かったところは？ 5,授業の悪かったところは？ 5,その他情報があれば教えてください 5,講義・実習等の実施形態,テストの実施形態
2/18/2026 13:18:59,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部電気電子システム工学科,中百舌鳥キャンパス,月曜日,１限目,確率統計,綿森葉子,"期末テスト, 中間レポート, 毎回の課題","自筆ノート, 教科書",出席点がない。毎回簡単な小テストを受ければよい。,期末試験が難しい。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/4/2026 16:39:39,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部電子物理工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,谷口暢一,"出席点あり, 期末テスト, 中間テスト, 中間レポート",持ち込みなし,"出席点やレポートがある。
また数回に1度板書式の問題解答者が募られて、加点がある。",声が小さい、前によく分からない小話がある,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/4/2026 22:41:13,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,田村　正純,"期末テスト, 中間テスト, 毎回の課題",持ち込みなし,,・内容が難しい、覚えることが多い,"・中間テストは過去問とほぼ同じだった
・期末テストでは中間テストの問題からも似たものが出ていたので、中間テストの復習もしておくべき",,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/4/2026 23:15:12,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,谷口暢一,"出席点あり, 期末テスト, 中間テスト, 2,3回の課題",持ち込みなし,課題は実質教科書の解答を写すだけでよい、授業中に黒板に課題の解答を書きに行くと2点もらえる,過去問がないとテストが辛い,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
2/26/2026 11:07:53,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,田村正純,"出席点あり, 期末テスト, 中間テスト, 毎回の課題",持ち込みなし,,,毎回授業終わりにその日の復習的な問題プリントが出され、それを提出してから帰るのだがかなり難しい。中間テストは過去問そのままなので頑張ったらとれるが、期末は過去問が無いのでめちゃくちゃ頑張るしかない。すごく難しい。,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/1/2026 0:34:28,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,谷口暢一,"期末テスト, 中間テスト, 中間レポート",持ち込みなし,期末後、単位取得出来なさそうな点数だった生徒には救済措置でレポート課題を出してくれる。,板書の文字が小さすぎる。カメラのズームなどで見るしかないが写真を撮ってはいけないので誤解されたりもする。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/15/2026 19:28:06,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,田村 正純,"期末テスト, 中間テスト, 毎回の課題",持ち込みなし,"意外と単位落としてる人は少ない
授業資料はわかりやすい","毎回の課題が難しい
中間試験、期末試験はちゃんと勉強しないと歯が立たない
一夜漬けでは無理なので、早めに試験対策を始めよう！","成績評価：
毎回の課題(20%)、中間試験(30%)、期末試験(50%)",,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/30/2026 12:17:32,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,谷口暢一,"期末テスト, 中間テスト, 中間レポート",持ち込みなし,丁寧な説明でわかりやすい。課題の答え（教科書に載っている）を前の黒板に書き写すと点がもらえる。,テストがそこそこ難しい。板書の字が小さくて読みにくいが、写真撮影が禁止されているので前の方の席に座っておかないとしんどい。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/16/2026 21:58:42,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,現シス知情,森之宮キャンパス,月曜日,２限目,統計学基礎,福井充　だったと思う,"期末テスト, 中間レポート, 毎回の課題","レジュメ, 自筆ノート, 教科書, 関数電卓","出席点がおそらくない、ただし確実とは言えない。
毎回検定の課題が出るが、この分野におけるchatGPTの正答率が高く、工夫すれば全部AIの回答で課題を終わらせられる。
授業を一切聞かなくてもなんとかなる
授業スライドや課題の解答、教科書を持ち込めるので、やり方を全く覚えてなくても、持ち込み教材と同じ形の問題を見つけてその通りにやれば期末テスト満点も全然狙える
関数電卓が不要。ダイソーのやっすい100円の電卓で余裕で攻略可能。なんなら忘れても一応なんとかなる
年末年始やテスト後など、みんなが行きたくなくなる時期の授業は、出席不要にしてオンデマンド配信を行うなどの配慮があった。
小テストは制限時間がないため調べ放題。","毎回の課題が結構めんどくさい。地味にpdfしか認めない形式なので、パソコン作成にしろ、印刷して手書きにしろめんどい。
出席があるのかないのかよくわからない。
授業でプロジェクターか何かを使って前に謎の手元を映し出すが、何の参考にもならない。あれをちゃんと聞いてる人はいるのだろうか。",,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",対面
2/5/2026 13:53:09,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,現代システム科学域教育福祉学類,中百舌鳥キャンパス,月曜日,２限目,統計学基礎2,今野良彦,"期末テスト, 中間レポート, 毎回の課題","レジュメ, 自筆ノート, 教科書, 関数電卓",・行かなくていい,"・面白くない
・授業に行っても理解できないので、行くだけ時間の無駄","・テストは教科書、今までの課題を印刷したもの、電卓の持ち込みが可能。内容を理解していなくても全部書き込んでいけば解ける。電卓の使い方だけ覚えておこう
・ほとんど出席していなかった
・中間レポートは出席番号の下1桁を使って解く問題なので、同じ番号の人を見つけておくと協力できる",,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",対面
3/22/2026 1:32:36,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,現代システム科学域知識情報システム学類,森之宮キャンパス,月曜日,２限目,統計学基礎2,福井 充、綿森 葉子,"出席点あり, 期末テスト, 毎回の課題","レジュメ, 自筆ノート, 教科書, 電卓","先生の雰囲気が優しい。
内職できるところ。
期末試験では教科書を持ち込みできるので超簡単。毎回の課題をきちんとしていれば余裕で解ける。",特になし,GPC:2.01,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",対面
2/26/2026 11:21:19,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部都市学科,森之宮キャンパス,月曜日,２限目,複素解析,吉田雅道,"期末テスト, 中間テスト",持ち込みなし,テストが教科書からそのまま出る,テスト範囲を授業でしか言ってくれない時がある,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/30/2026 11:01:11,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部機械工学科,森之宮キャンパス,月曜日,３限目,健康・スポーツ科学概論,吉井,"出席点あり, 期末テスト, 毎回の課題",持ち込みなし,・期末テストを終えて、総点が50~59の人(ギリギリCに届かない人)には課題が与えられ、それを出すと救済してくれた,・先生がだるい,2025年度後期の期末問題は2023年度前期の問題とほぼ一緒(穴埋め問題が2023は各1点×20問、2025は各2点×10問、問題文は同じで穴埋めする箇所が違う、残り2題の記述問題は同じ）,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/13/2026 0:52:27,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,３限目,健康スポーツ概論,鈴木雄太,"出席点あり, 期末テスト, 毎回の課題",持ち込みなし,出席と毎回授業おわりに出るQuizと期末テストだけで成績が決まるところ。Quizはスライドを見ながらやれば満点取れる。期末テストは全部選択問題で過去問そのままなので、入手できたら勝ち。,先生が厳しい。授業中帽子を被っていたり私語をしているとすぐに見つかり怒られる。かなり怒りっぽく些細なことで注意を受けることがある。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/30/2026 9:11:33,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部電気電子システム工学科,森之宮キャンパス,月曜日,４限目,プログラミング入門A,吉本佳代,"出席点あり, 期末レポート, 中間レポート",持ち込みなし,ピ逃げ可 出席登録とレポートをやっていれば単位が取れる,,,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, Zoomなどでのリアルタイム遠隔授業・実習",
2/4/2026 16:22:50,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部生物学科,森之宮キャンパス,月曜日,４限目,確率統計,濱本,"出席点あり, 期末テスト, 中間レポート",持ち込みなし,"授業ノートをmoodleに上げてくれる
出席点はボーナスポイントなので出席しなくても点が取れたらAAとれる","何を話してるか分かりにくい
板書、moodleに挙げてくれる課題、その解答全て所々間違いがある
試験の難易度が直前に渡される練習問題と全然違うし問題も悪い",,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/9/2026 17:54:50,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,４限目,健康・スポーツ科学概論,鈴木　雄太,"出席点あり, 期末テスト, 毎回の課題",持ち込みなし,期末が過去問そのまま,,,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, Zoomなどでのリアルタイム遠隔授業・実習",対面
2/4/2026 19:22:46,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部数学科,森之宮キャンパス,月曜日,４限目,微積分2,高橋　太,"期末テスト, 中間テスト, 毎回の課題",持ち込みなし,"中間試験、期末試験ともに、宿題とそっくりの問題が出題される
多分、数学科の先生の中で一番優しい",,絶対に落単しないようにしましょう,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/4/2026 22:22:34,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部数学科,森之宮キャンパス,月曜日,４限目,微積分2,高橋　太,"期末テスト, 中間テスト, 毎回の課題",持ち込みなし,先生が優しい。毎回の宿題はいつ提出してもok。テストは、ほとんどが毎回の宿題から出題される。,なし。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/9/2026 17:52:14,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,４限目,微積分2,阿部　健,"期末テスト, 中間テスト, ランダムにある小テスト",持ち込みなし,,抜き打ちで小テストがあること（半分くらいの人は授業飛んでて受けてない）,"たまにある小テストは満点とった方がいい
中間テストは過去問、期末は教科書の問題を勉強する",,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/26/2026 11:15:40,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,４限目,微積分2,阿部健,"期末テスト, 中間テスト, 小テスト",持ち込みなし,中間テストが過去問そのままなところ。,抜き打ち小テストがある。計5回くらいありました。小テストがないことに気づいて途中で授業を抜ける行為が多発したため、小テストをやるタイミングを授業おわるギリギリにするなど色々な工夫をされていたので、真面目に受けなければ痛い目を見ます。また、一度みんなの小テストの出来が良かった時は小テストを回収しないという事件が起きてビックリしました。期末テストはめっちゃむずいです。教科書の章末を空で解けるくらい完璧にすれば大丈夫ですが、そこそこの勉強では無理です。およそ半数が落単か1でした。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/26/2026 11:23:00,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部都市学科,森之宮キャンパス,月曜日,４限目,微積分2,安田順平,"期末テスト, 中間レポート",持ち込みなし,講義資料・ノートはMoodleに上げてくれる。ノートの例題とレポート問題からテストそのまま出る。,レポートは対面で提出,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/26/2026 12:20:14,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,４限目,微積分2,阿部　健,"期末テスト, 中間テスト, 抜き打ちの小テスト",持ち込みなし,,,"35%が落単
真面目に受けたら大丈夫",,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/27/2026 11:16:01,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部建築学科,森之宮キャンパス,月曜日,４限目,微積分2,安田順平,"期末テスト, 中間レポート",持ち込みなし,出席点がない。課題も一度だけ。レジュメをMoodleに上げてくれるから授業出なくても単位取れる。,,,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",対面
2/28/2026 3:13:29,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部数学科,森之宮キャンパス,月曜日,４限目,微積分2,高橋　太,"期末テスト, 中間テスト, 毎回の課題",持ち込みなし,,,来年度から先生が変更されるので注意,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/5/2026 14:02:53,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部数学科,森之宮キャンパス,月曜日,４限目,微積分2,高橋太,"期末テスト, 中間テスト, 毎回の課題",持ち込みなし,"先生がわかりやすく教えてくれる
テストが毎回の課題の範囲から出される",,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/15/2026 19:33:48,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,４限目,微積分2,阿部 健,"期末テスト, 中間テスト, 抜き打ち小テスト",持ち込みなし,中間試験は過去問そのままだった,"3分の1落単、数学が苦手な人にはおすすめしない
試験はとても難しい
抜き打ち小テストあり",中間試験で微分、期末試験で積分の問題が出た,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/30/2026 17:53:20,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,４限目,微積分2,阿部健,"期末テスト, 中間テスト, 気分次第で小テスト、確認プリント",持ち込みなし,内職できる、行かなくていい、基本的には優しい、中間テストは過去問通り,"・ある学科では生徒の3分の1が落単
・出席点はないのに、先生の気分次第で抜き打ちの小テストがある上に、小テストがあると思って出席すると、出席者が多い日はテストを回収しない。（その一つ前の授業で小テストはない、と言っていた）
・機嫌が悪い時はパソコンの音に過敏になる
・期末は過去問がないのにむずい","・時々変な柄のTシャツを着ているので注目してください。
・真面目に勉強すれば多分単位は取れますが、真面目だろうがテストが悪ければ落とされます。",,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/9/2026 1:57:16,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部都市学科,森之宮キャンパス,月曜日,４限目,微積分2/選:工<建･都･バ>1_森,安田 順平,"期末テスト, 中間レポート",持ち込みなし,"教授が死ぬほど優しい、声も優しい、質問も受けてくれる
レポート課題(問題3問だけ、答え付き)が評価の4割を占めているので負担が少ない",特にない,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/18/2026 13:23:56,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部電気電子システム工学科,中百舌鳥キャンパス,火曜日,１限目,データベースと情報検索,吉岡　理文／岩村　雅一,毎回の課題,テストなし,accessの使い方に詳しくなれる。,課題のフィードバックが遅いことがある。,,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, Zoomなどでのリアルタイム遠隔授業・実習",
2/26/2026 11:24:39,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部都市学科,中百舌鳥と杉本,火曜日,１限目,データベースと情報検索,吉田理文,"毎回の課題, 杉本は出席なし",,杉本からはズームで参加,前半のレポートがめんどくさい。AIに突っ込めばなんとか,,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, Zoomなどでのリアルタイム遠隔授業・実習",
2/26/2026 13:07:41,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部都市学科,杉本キャンパス,火曜日,１限目,データベースと情報検索,吉岡,毎回の課題,,授業聞かずに課題さえやれば簡単に単位取れる。,,採点者に当たりはずれがある。,,,,,,,,,,,,,,,,,,,,,,Zoomなどでのリアルタイム遠隔授業・実習,
2/6/2026 13:37:13,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部機械工学科,杉本キャンパス,火曜日,１限目,線形代数2B,中野弘夢,"出席点あり, 期末テスト, 中間テスト",持ち込みなし,,講義があまり上手くなく、また演習問題や小テストの問題が難しい,火曜の一限と金曜三限の週２回,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/30/2026 10:32:26,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部機械工学科,森之宮キャンパス,火曜日,１限目,線形代数2B,木村,"期末テスト, 毎回の課題",持ち込みなし,"・小テスト解けなくても大丈夫
・休んでも課題を出せば多分大丈夫、多少休んでも課題を出して、期末テスト解ければAA
・期末テストの過去問を授業で扱う
・期末テストもやり直しがあってそれを出せば多分大丈夫",・授業で何を言ってるかわからない,"・小テストは出席確認のためで解説してから回収する
・授業内容を理解することと、毎回の小テストや期末テストを解けるようにすることは別物、後者は簡単で、後者だけで単位取得可能",,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/4/2026 19:26:26,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部数学科,森之宮キャンパス,火曜日,１限目,地球学入門,三田村　宗樹,毎回の課題,,"内容が非常に面白い
出席しなくても良い（出席率は非常に悪かった）
基礎教育科目なのに中間、期末テストがないところ　Moodleに上がる小テストで成績が決まる",1限である、これのせいで出席率が低くなっている,小テストをし忘れないようにしましょう　一回やり忘れるごとに落単に近づきます,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
2/4/2026 22:32:20,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部数学科,森之宮キャンパス,火曜日,１限目,地球学入門,三田村　宗樹,毎回の課題,,"出席点がない。
期末試験もレポートもない。
毎回の宿題で行うテストで高得点をとれば単位がもらえる。そのテストはレジュメをカンニングしながら友達と協力して解ける。",レジュメが穴埋めになっているため、1人で受講している人は、毎回授業に出席しないと単位は難しい。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
2/4/2026 23:27:38,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,火曜日,１限目,地球学入門,三田村　宗樹,毎回の確認テスト（moodle）,,,,授業のスライドがmoodleに載せられるが、空欄がある,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
2/5/2026 12:03:57,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部数学科,森之宮キャンパス,火曜日,１限目,地球学入門,三田村宗樹,毎回の課題,,毎回の確認テストのみで、中間テスト、期末テストがない。確認テストもレジュメを見ながらできるので、学科の友達と一緒に取ればめちゃくちゃ楽。,なし,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
2/9/2026 17:56:07,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,火曜日,１限目,地球学入門,三田村　宗樹,毎回の課題,,楽,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
2/26/2026 11:20:29,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,火曜日,１限目,地球学入門,三田村宗樹,毎回の課題,,とにかく楽。出席点がなく、毎回のMoodleでの小テストに解答するだけでいい。それで成績が決まる。,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
2/26/2026 22:37:57,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部応用化学科,森之宮キャンパス,火曜日,１限目,地球学入門,桑原　希世子,"出席点あり, 期末テスト, 毎回の課題",持ち込みなし,先生が熱心,テスト勉強は結構大変,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/28/2026 2:57:11,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部数学科,森之宮キャンパス,火曜日,１限目,地球学入門,三田村　宗樹,毎回の課題,,超楽単,,基礎教育科目の中で一番の楽単　履修しない手はない,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
3/15/2026 19:53:53,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,火曜日,１限目,地球学入門,三田村 宗樹,毎回の課題,,"超楽単！！迷ってる人は絶対取るべき！！！
出席点なし！試験、レポートなし！
毎回Moodleで簡単な小テストをこなすだけでいい
問題が分からなくてもスマホで調べれば大丈夫",授業は退屈,"小テストは友達とやるのがおすすめ
忘れずにやろう",,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/26/2026 10:40:16,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部物理学科,森之宮キャンパス,火曜日,１限目,地球学入門,三田村,毎回の課題,,"テストなし。
毎回の課題の正答率で成績が決まる。
毎回の課題もmoodle上で正誤判定問題だけなので非常に楽。
出席は見られていないので、一限が辛いなら出なくていい。
教員は講義中全く学生の方を見ないが、終了後に質問をすると非常に丁寧に答えてくれる。","moodleには空欄が設けられた講義スライドしか公開されないので、このスライドを完成させたければ講義に出席する必要がある。
スライドの内容が、地学を初めて学ぶ人用に若干簡略化されていて、自分で調べて得た知識をもとに課題を解くと不正解になることがある。
講義は火曜日だが課題に取り組めるのは木曜日からなので存在を忘れないように注意。提出した課題がすべて満点でも二回提出を忘れるとAAを逃す。",,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
2/18/2026 8:05:42,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,現シス知情,森之宮キャンパス,火曜日,２限目,プログラミング入門A,小島篤博,"出席点あり, 期末テスト, 中間テスト, 毎回の課題",持ち込みなし,"プログラミングがある程度理解できて、毎回の小テストにもきっちり取り組んでいれば、テストはそこまで難しくない
課題のプログラムは最悪生成AIに作ってもらえる
動画、資料、テスト等、勉強の仕方が豊富。それに伴い、成績評価方法も多様である。","小テストがまさかの予習テスト。復習は課題があるのでまあいいのだが、予習に小テストが必要なのか？
予習動画というものがあるが、最初よくわからないフリー音楽を流しながら気持ち悪い背景におっさんドアップという、見る気が起きない絵面からスタートしたと思えば、授業スライドの垂れ流し。
ただし、スライドの補足説明があったりする。でもそれはスライドに初めから書いておいて欲しい。
対面の授業内でもこの授業スライドに沿って行うため、予習動画および予習小テストの意義を本当に感じない。一応予習ではプログラム作成までは行わないが、対面授業では実際に動かすという違いがある。なら小テストにコードの問題出すなよバカ。
出席点があるのかどうか諸説。
TAという名の暇人と、教授がときどきウロウロするため、内職するのが気まずい。お前らに質問するくらいならAIに聞くから引っ込んでろ。
課題のプログラムが人と被っていれば怪しまれて両者とも減点されると言っていたが、基礎の時点のプログラムが似通うのは当然なのでは。
いろいろ当たりが強いことを描いたが、小テストの意義以外は、まともに受けてれば特に気にならないし単位も比較的取りやすいと思う。",,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",対面
3/22/2026 1:39:21,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,現代システム科学域知識情報システム学類,森之宮キャンパス,火曜日,２限目,プログラミング入門A,小島 篤博,"出席点あり, 期末テスト, 中間テスト, 毎回の課題",持ち込みなし,"毎回の小テストで高得点を取れれば中間・期末試験は大したことない。
予習をきちんとしていればあまり苦労せずに済む。",大学構内でしか小テストを受けることができないところ。遅刻常習犯は特に注意。,"毎回授業の前日までに予習動画が公開されていて、その動画の内容から小テストが実施される。
GPC:2.15",,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",対面
2/4/2026 16:43:55,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部電子物理工学科,森之宮キャンパス,火曜日,２限目,プログラミング入門A (電物),余越伸彦根,"出席点あり, 毎回の課題",,毎回課題が出されるが、授業時間内にほぼ終わる。終わった人から退出可能。万一終わらなくても授業の最後に答えを提示してくれる。最終課題も生成AIを使って良い,まじでない,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
8/3/2026 0:38:22,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部マテリアル工学科,森之宮キャンパス,火曜日,２限目,線形代数,松野 研,"出席点あり, 期末テスト, 中間テスト",持ち込みなし,先生がかなり腰が低い感じで授業してくれる,板書がはやいが教科書と同じことを書いてるのであまり無理して板書をとる必要はない,期末試験を受けたら単位あげるって言ってました。おそらく本当です。,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/4/2026 19:31:23,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部数学科,森之宮キャンパス,火曜日,２限目,線形代数2A,宮地　兵衛,"期末テスト, 中間テスト, 中間レポート",持ち込みなし,,"授業がわかりづらい
タバコ臭い
テストが非常に難しい","口癖は「失神寸前」
授業中の私語にめちゃくちゃ厳しい
期末試験の一部に中間試験の問題がそのまま出た
必修じゃなければ、この先生の授業はもう履修したくないです……",,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/4/2026 22:38:11,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,理学部数学科,森之宮キャンパス,火曜日,２限目,線形代数2A,宮地　兵衛,"期末テスト, 中間テスト, 中間レポート",持ち込みなし,学習内容の重要性や、数学科として成長するためのアドバイスなど、教科書やカリキュラムにはないことを話してくれる。,線形代数が苦手な人には難しい。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
