総合教養科目（般教）,杉本キャンパス,火曜日,２限目,現代の部落問題,向井伸哉先生,"出席点あり, 期末テスト, 毎回の課題",持ち込みなし,授業寝ててもレジュメ見たらコミュカ書ける,期末テストが全記述で難しい、授業眠い,出席点50%期末試験50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,現代の部落問題,吉川 貴仁,"期末レポート, 毎回の課題",,"・オンデマンドで、毎回の小テスト、予習テストの受験を忘れなければ単位は取れるはず
・期末レポートを危うく出し忘れるところだったが、先生が直接メールで教えてくださった。やさしい。",なし,期末レポートは最初の授業のタイミングから既に何を書くのかは示されているため、余裕をもって書いておこう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初回のみ対面、それ以降はオンデマンド,遠隔
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,現代の部落問題,多和田 裕司,"期末テスト, 期末レポート","レジュメ, 自筆ノート, 教科書, 紙媒体なら何でも",出席点なし,授業資料がmoodleに上がらないため出席点なしでも行く必要がある、期末テストが難しい、自分で考えさせるような問題が多い,レポートは外国人にインタビューをするという難しい課題だがAIでやればなんとかなる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,現代社会と部落差別,多和田裕司,"期末テスト, 期末レポート","レジュメ, 自筆ノート",授業を聞かなくてもスライドさえ写真を撮っておけばテストは大丈夫。,"おもしろくない。2,800字のレポートとテストどちらもある。",私語にとても厳しい。レポートには個人が特定できる名前などを入れてしまうと単位がもらえないらしい。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,２限目,現代地理学入門,西田芳正,"期末テスト, 毎回の課題","レジュメ, 自筆ノート","あまり授業に出なくてもレジュメをmoodleで送ってくれるため、予測で毎回の感想が書ける
内職し放題 先生が優しいため、感想を出し忘れてもメールで送れば受け取ってくれる 2回とか出し忘れても単位落とすとかはない
テストは先生が言ってたこととレジュメから出る 意見論述もあるけど、判定そんなに厳しくない","大体同じ内容を話していて飽きてくる
テスト全て記述なので手がしんどい",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,言語学入門,吉川 貴仁、野村 奈穂,期末レポート,,オンデマンド、たまにある小テストと1000文字程度のレポートだけで単位がもらえる,特になし、毎回出るわけではないので小テストを忘れがちぐらい,神、取ったほうがいい、初回だけ対面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF資料配布・動画配信などのオンデマンド授業・実習,
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,言語学入門,多和田,,"レジュメ, 自筆ノート",出なくて良い,授業出ない人はテスト前にしっかり詰め込まないとテスト解けない。テストに持ち込みありとされてるがノー勉でその場でレジュメから該当箇所探して書くみたいなことはおすすめしない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,古典文学,多和田裕司,"期末テスト, 期末レポート",自筆ノート,授業の内容が面白い,私語に厳しい,期末レポートで外国人にインタビューする必要がある,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",対面
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,生物化学への招待,向井 伸哉,"期末テスト, 毎回の課題",持ち込みなし,最終回の授業プリントだけ覚えればテストは取れる。5回以上休んでもテストと課題の割合を考えてテストを頑張れば単位をくれる。授業中にプリントが配られてそれをまとめて出せば出席点になるため内職し放題。いつも15分～30分早めに終わる。授業終わるくらいに行って出席カードだけ書いてもバレない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,２限目,地理学入門,西田先生,"期末テスト, 毎回の課題","レジュメ, 自筆ノート",内職できる,"先生が何回も同じ話する
内容はあんまり面白くない",普段授業聞いていなくても、テストは持ち込み可なので、テスト前にレジュメに目を通しておけばなんとかなります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,２限目,地理学入門,櫻井 俊郎,"出席点あり, 期末レポート",,レポートの字数制限は1600字以上だが、問題に答える形式なので何を書けば良いのか明確で良心的。,レポートにて「〜について、授業内で紹介した事がらにつき知るところを述べよ。」とあるので、ピ逃げ常習犯は真面目に授業を受けている生徒からノートを見せてもらわないと困る事になる。,レポートの内容を授業内で取り扱うのが終わった翌週から生徒が急激に減る。教授が可哀想。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,哲学的人間学,橋本智也,"出席点あり, 毎回の課題",,プレゼンのやり方を学べるところ。,,テストやレポートもなく、簡単にAAも取れる。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,東洋社会の歴史,吉川貴仁,"期末レポート, 毎回の課題",,毎回小テスト出して、期末レポートは1500字くらいの超楽単,毎回の課題の小テストが成績に占める割合が高いので、小テスト忘れがちな人は向いてない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF資料配布・動画配信などのオンデマンド授業・実習,
